match_id_home; tickets_scanned; tickets_sold_total; match_date; weather_temp_max_c; weather_temp_min_c; weather_temp_mean_c; weather_precipitation_mm; weather_rain_mm; weather_snowfall_cm; weather_windspeed_max_kmh; weather_sunshine_hours; weather_code; weather_temp_deviation; weather_score; weather_description; has_promotion; promo_tickets_total; promo_valentijn_tickets; promo_1plus1_tickets; promo_bring_a_friend_tickets; promo_free_subscriber_tickets; promo_bondskaarten_tickets; promo_discount_tickets; promotion_names                                                          ; weekday; weekday_name; is_weekend; is_midweek; academic_year; academic_week; is_public_holiday; public_holiday_name; is_school_holiday_flanders; school_holiday_name; pct_free_tickets; campaign_motto
5sue6595uizdrssh0wv22egpg;5583;6703; 2024-08-03; 23.1              ; 15.6              ; 19.6               ;                      1.8;             1.8;                0.0 ;                      19.3;                    9.6;53; 0.1                   ; -1.53        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2023/2024    ;49; false            ;                    ; true                      ; Summer Holiday     ;             26.9; #Samenkanmeer
d256yo3eng04m0fu7b4sl7wno;5565;5025; 2022-07-30; 25.8              ; 12.9              ; 19.8               ;                      0.0;             0.0;                0.0 ;                      10.2;                   10.3;3; 0.9                   ; 0.09         ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2021/2022    ;48; false            ;                    ; true                      ; Summer Holiday     ;             13.9; 
7mk17ds9sv6rqbsd6o75ppuz8;5550;6979; 2025-01-26; 9.9               ; 0.2               ; 4.2                ;                      6.7;             6.4;                0.21;                      29.5;                    4.3;71; 0.6                   ; -5.95        ; Sneeuw             ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2024/2025    ;22; false            ;                    ; false                     ;                    ;             44.4; 
602pbgoexz07st4msln8fq0wk;5528;7114; 2024-08-18; 22.8              ; 13.5              ; 18.6               ;                      2.7;             2.7;                0.0 ;                      19.7;                    8.5;53; -0.9                  ; -1.9         ; Motregen           ; true         ;602;0;0;0;602;0;0; Gratis ticket abonnee                                                    ;6; Sunday      ; true      ; false     ; 2023/2024    ;51; false            ;                    ; true                      ; Summer Holiday     ;             23.6; 
enw1n6mhkzvb6uptwhzs4gowk;5322;6720; 2026-01-24; 9.3               ; 2.1               ; 5.2                ;                      0.0;             0.0;                0.0 ;                      11.4;                    7.6;3; 1.6                   ; 0.16         ; Bewolkt            ; true         ;13;0;0;0;0;13;0; Bondskaarten                                                             ;5; Saturday    ; true      ; false     ; 2025/2026    ;21; false            ;                    ; false                     ;                    ;             42.3; 
di0x0as1g324k0hoea1o5vvh0;5285;4688; 2022-11-11; 13.6              ; 7.9               ; 9.8                ;                      0.0;             0.0;                0.0 ;                      19.0;                    8.4;3; 1.8                   ; 0.18         ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;4; Friday      ; false     ; false     ; 2022/2023    ;11; true             ; Armistice Day      ; false                     ;                    ;             49.3; 
814atdxgv4huojqsu3t0d9vro;5164;5304; 2025-04-26; 18.0              ; 4.2               ; 11.3               ;                      0.0;             0.0;                0.0 ;                      11.9;                   13.8;2; 1.1                   ; 0.31         ; Licht bewolkt      ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2024/2025    ;34; false            ;                    ; false                     ;                    ;              0.0; 
ewgb5fczpfa71pfzihlip6yok;5137;7118; 2026-02-14; 2.5               ; -3.0              ; 0.5                ;                      0.0;             0.0;                0.0 ;                      18.7;                    3.4;3; -5.7                  ; -0.57        ; Bewolkt            ; true         ;509;501;0;0;0;8;0;" ""Valentijnsactie abonnee";" Bondskaarten""                                  ";5; Saturday    ; true      ; false     ; 2025/2026    ;24; false            ;                    ; false                     ;                    ;             44.4
852y9z78ifhike3zkg6dfyluc;5025;5367; 2025-05-16; 17.5              ; 6.4               ; 12.3               ;                      0.0;             0.0;                0.0 ;                      18.5;                   15.0;3; -1.8                  ; -0.18        ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;4; Friday      ; false     ; false     ; 2024/2025    ;37; false            ;                    ; false                     ;                    ;              0.0; 
9bied5x123qpk7tpdx9t2fml0;4936;6280; 2024-04-14; 15.6              ; 9.2               ; 12.5               ;                      0.9;             0.9;                0.0 ;                      18.4;                    7.6;53; 2.3                   ; -1.04        ; Motregen           ; true         ;1;0;0;0;0;1;0; Bondskaarten                                                             ;6; Sunday      ; true      ; false     ; 2023/2024    ;33; false            ;                    ; true                      ; Easter Holiday     ;             33.7; 
