;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
;match_id                 ; match_date; weather_temp_max_c; weather_temp_min_c; weather_temp_mean_c; weather_precipitation_mm; weather_rain_mm; weather_snowfall_cm; weather_windspeed_max_kmh; weather_sunshine_hours; weather_code; weather_temp_deviation; weather_score; weather_description; has_promotion; promo_tickets_total; promo_valentijn_tickets; promo_1plus1_tickets; promo_bring_a_friend_tickets; promo_free_subscriber_tickets; promo_bondskaarten_tickets; promo_discount_tickets; promotion_names                                                          ; weekday; weekday_name; is_weekend; is_midweek; academic_year; academic_week; is_public_holiday; public_holiday_name; is_school_holiday_flanders; school_holiday_name; pct_free_tickets; campaign_motto
dt091ishr3km0wuuhiatev9xw;dt091ishr3km0wuuhiatev9xw; 2023-02-26; 4.2               ; -2.0              ; 0.7                ;                      0.0;             0.0;                0.0 ;                      25.8;                   10.0;2; -5.5                  ; -0.35        ; Licht bewolkt      ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2022/2023    ;26; false            ;                    ; false                     ;                    ;              7.8; 
4729fykixfyfwxlbno9zilq8k;4729fykixfyfwxlbno9zilq8k; 2023-11-04; 11.7              ; 7.2               ; 9.5                ;                      4.5;             4.5;                0.0 ;                      32.0;                    1.2;61; 1.5                   ; -2.2         ; Regen              ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2023/2024    ;10; false            ;                    ; true                      ; Autumn Holiday     ;             50.8; 
4yqzx2kle0xh8c6mbzui5ydjo;4yqzx2kle0xh8c6mbzui5ydjo; 2024-02-17; 12.8              ; 7.6               ; 10.0               ;                      0.2;             0.2;                0.0 ;                      13.8;                    6.0;51; 3.8                   ; -0.68        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2023/2024    ;25; false            ;                    ; true                      ; Carnival Holiday   ;             47.1; #Samenkanmeer
3yp7glzujzj8nc07qp0sd0kr8;3yp7glzujzj8nc07qp0sd0kr8; 2023-09-30; 18.6              ; 11.6              ; 14.4               ;                      0.0;             0.0;                0.0 ;                      10.8;                   10.1;3; -1.9                  ; -0.19        ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2023/2024    ;5; false            ;                    ; false                     ;                    ;             23.2; 
3rwouz4640n6ngfbwrwsqkp3o;3rwouz4640n6ngfbwrwsqkp3o; 2023-09-01; 21.8              ; 13.4              ; 17.4               ;                     11.1;            11.1;                0.0 ;                      15.8;                    6.0;63; 1.1                   ; -3.89        ; Regen              ; true         ;809;0;809;0;0;0;0; 1+1 actie                                                                ;4; Friday      ; false     ; false     ; 2023/2024    ;1; false            ;                    ; false                     ;                    ;             32.0; 
65chj645tcu0gtoy18rdroyz8;65chj645tcu0gtoy18rdroyz8; 2024-08-31; 24.9              ; 15.1              ; 19.6               ;                      6.9;             6.9;                0.0 ;                      17.3;                    9.5;63; 0.1                   ; -3.06        ; Regen              ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2023/2024    ;53; false            ;                    ; true                      ; Summer Holiday     ;             24.6; 
3nrkjdhpc5zse1sdzt1onor2s;3nrkjdhpc5zse1sdzt1onor2s; 2023-08-18; 26.3              ; 16.4              ; 21.3               ;                      0.0;             0.0;                0.0 ;                      11.5;                   10.4;3; 1.8                   ; 0.18         ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;4; Friday      ; false     ; false     ; 2022/2023    ;51; false            ;                    ; true                      ; Summer Holiday     ;             21.9; 
dyrd81lg1d8eb5ptsbq1tg6j8;dyrd81lg1d8eb5ptsbq1tg6j8; 2023-04-08; 13.0              ; 4.7               ; 8.6                ;                      0.5;             0.5;                0.0 ;                       8.9;                    3.5;51; -1.6                  ; -1.31        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2022/2023    ;32; false            ;                    ; true                      ; Easter Holiday     ;              0.0; 
4i4bz7rnjs44z8bt8bnftavbo;4i4bz7rnjs44z8bt8bnftavbo; 2023-12-16; 8.8               ; 3.2               ; 6.4                ;                      0.0;             0.0;                0.0 ;                      19.9;                    2.0;3; 1.0                   ; 0.1          ; Bewolkt            ; true         ;37;0;0;0;0;0;37; Ticketkoper Club Brugge 50% discount                                     ;5; Saturday    ; true      ; false     ; 2023/2024    ;16; false            ;                    ; false                     ;                    ;             32.2; #Samenkanmeer
dob21hsimmlz7agqzo8irt5w4;dob21hsimmlz7agqzo8irt5w4; 2025-10-18; 13.7              ; 8.3               ; 10.7               ;                      0.3;             0.3;                0.0 ;                      11.5;                    7.3;51; -2.4                  ; -1.33        ; Motregen           ; true         ;12;0;0;0;0;12;0; Bondskaarten                                                             ;5; Saturday    ; true      ; false     ; 2025/2026    ;7; false            ;                    ; false                     ;                    ;             27.5; 
4mbxzkhlc9edsor1s0fjsxses;4mbxzkhlc9edsor1s0fjsxses; 2023-12-26; 10.9              ; 4.2               ; 8.7                ;                      1.3;             1.3;                0.0 ;                      30.3;                    5.0;51; 3.3                   ; -1.06        ; Motregen           ; true         ;449;0;0;0;449;0;0; Gratis ticket abonnee                                                    ;1; Tuesday     ; false     ; true      ; 2023/2024    ;17; true             ; St. Stephen's Day  ; true                      ; Christmas Holiday  ;             26.1; 
4s3or8i47or8p70amtotvjlec;4s3or8i47or8p70amtotvjlec; 2024-01-31; 7.9               ; 4.5               ; 6.4                ;                      0.1;             0.1;                0.0 ;                      26.1;                    6.9;51; 2.8                   ; -0.75        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;2; Wednesday   ; false     ; true      ; 2023/2024    ;22; false            ;                    ; false                     ;                    ;             38.2; 
3kewmr690bhoid47mku9wfgno;3kewmr690bhoid47mku9wfgno; 2023-08-05; 17.6              ; 11.6              ; 14.6               ;                      8.3;             8.3;                0.0 ;                      24.1;                    3.1;63; -4.9                  ; -3.98        ; Regen              ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2022/2023    ;49; false            ;                    ; true                      ; Summer Holiday     ;             31.3; 
du1wib350joxeh5hdv9v8yihg;du1wib350joxeh5hdv9v8yihg; 2023-03-04; 6.7               ; 0.8               ; 4.3                ;                      0.2;             0.2;                0.0 ;                      14.6;                    1.3;51; -3.7                  ; -1.43        ; Motregen           ; true         ;110;0;0;0;110;0;0;" ""Gratis ticket abonnee";" Gratis ticket halfseizoensabonnee""               ";5; Saturday    ; true      ; false     ; 2022/2023    ;27; false            ;                    ; true                      ; Carnival Holiday   ;             23.3
42wgdmxzlcn9w08umkea3hpg4;42wgdmxzlcn9w08umkea3hpg4; 2023-10-22; 14.8              ; 9.8               ; 12.5               ;                      1.6;             1.6;                0.0 ;                      31.1;                    7.2;55; -0.6                  ; -1.54        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2023/2024    ;8; false            ;                    ; false                     ;                    ;             41.9; 
89eut1cf33jziticurrctu2ok;89eut1cf33jziticurrctu2ok; 2025-03-16; 9.6               ; -0.5              ; 4.1                ;                      0.0;             0.0;                0.0 ;                      16.7;                   11.7;3; -3.9                  ; -0.39        ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2024/2025    ;29; false            ;                    ; false                     ;                    ;             37.7; 
d4mn5ksbxuvnaww4pmommxhqs;d4mn5ksbxuvnaww4pmommxhqs; 2022-08-14; 32.2              ; 17.3              ; 25.4               ;                      0.0;             0.0;                0.0 ;                      16.9;                   11.1;3; 5.9                   ; 0.59         ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2021/2022    ;50; false            ;                    ; true                      ; Summer Holiday     ;              8.3; 
dcl81t8chgq07o8rw8orj5no4;dcl81t8chgq07o8rw8orj5no4; 2022-10-15; 17.8              ; 10.9              ; 14.1               ;                      2.7;             2.7;                0.0 ;                      24.1;                    3.4;61; 1.0                   ; -1.71        ; Regen              ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2022/2023    ;7; false            ;                    ; false                     ;                    ;              7.3; 
dfui3aovgvfccasonp6w5ajh0;dfui3aovgvfccasonp6w5ajh0; 2022-10-30; 20.6              ; 12.9              ; 16.1               ;                      0.0;             0.0;                0.0 ;                      11.3;                    6.1;3; 3.0                   ; 0.3          ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2022/2023    ;9; false            ;                    ; false                     ;                    ;             15.1; 
82ku9pdoluteqx9sa2bqzmcyc;82ku9pdoluteqx9sa2bqzmcyc; 2025-03-02; 8.7               ; -1.6              ; 2.9                ;                      0.0;             0.0;                0.0 ;                       8.7;                   10.0;3; -5.1                  ; -0.51        ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2024/2025    ;27; false            ;                    ; false                     ;                    ;             34.8; 
dh7ze0l15ri59fuhmnrs8pst0;dh7ze0l15ri59fuhmnrs8pst0; 2025-09-26; 15.2              ; 7.4               ; 11.3               ;                      0.1;             0.1;                0.0 ;                      10.9;                    5.8;51; -5.0                  ; -1.53        ; Motregen           ; true         ;21;0;0;0;0;21;0; Bondskaarten                                                             ;4; Friday      ; false     ; false     ; 2025/2026    ;4; false            ;                    ; false                     ;                    ;             30.5; 
6lop4d01krcoktw7peu0xrlec;6lop4d01krcoktw7peu0xrlec; 2024-10-20; 17.8              ; 13.9              ; 15.8               ;                      0.4;             0.4;                0.0 ;                      30.6;                    2.2;51; 2.7                   ; -0.85        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2024/2025    ;8; false            ;                    ; false                     ;                    ;             38.0; 
98omfw1wagomo5aac4rpyhtlg;98omfw1wagomo5aac4rpyhtlg; 2024-03-30; 10.9              ; 5.7               ; 9.0                ;                      4.3;             4.3;                0.0 ;                      18.0;                    1.1;61; 1.0                   ; -2.19        ; Regen              ; true         ;117;0;0;0;0;0;117;" ""50% korting ticketkoper KV Mechelen";" Werknemers OH Leuven FT""           ";5; Saturday    ; true      ; false     ; 2023/2024    ;31; false            ;                    ; false                     ;                    ;             35.8
d7riiuoqud1d84e7gu4givjf8;d7riiuoqud1d84e7gu4givjf8; 2025-08-31; 22.5              ; 17.5              ; 19.6               ;                      2.2;             2.2;                0.0 ;                      20.1;                    6.5;53; 0.1                   ; -1.65        ; Motregen           ; true         ;16;0;0;0;0;16;0; Bondskaarten                                                             ;6; Sunday      ; true      ; false     ; 2024/2025    ;53; false            ;                    ; true                      ; Summer Holiday     ;             28.9; 
7dq0nagdoadvgfk4qfxw3lvkk;7dq0nagdoadvgfk4qfxw3lvkk; 2024-12-27; 4.7               ; -0.1              ; 2.5                ;                      0.0;             0.0;                0.0 ;                       4.3;                    5.4;3; -2.9                  ; -0.29        ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;4; Friday      ; false     ; false     ; 2024/2025    ;17; false            ;                    ; true                      ; Christmas Holiday  ;             27.4; 
7qex3cmy0pi6r9v2luba43qqc;7qex3cmy0pi6r9v2luba43qqc; 2025-01-31; 6.3               ; -0.3              ; 2.5                ;                      0.1;             0.1;                0.0 ;                      12.7;                    3.2;51; -1.1                  ; -1.14        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;4; Friday      ; false     ; false     ; 2024/2025    ;22; false            ;                    ; false                     ;                    ;             28.1; 
dojq6igk3d5ol4c78rkm0ugb8;dojq6igk3d5ol4c78rkm0ugb8; 2023-01-28; 2.5               ; -1.2              ; 1.1                ;                      0.0;             0.0;                0.0 ;                      11.5;                    2.3;3; -2.5                  ; -0.25        ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2022/2023    ;22; false            ;                    ; false                     ;                    ;             54.3; 
duivyh7ccvqb0o2ykwgvaq5uc;duivyh7ccvqb0o2ykwgvaq5uc; 2025-11-02; 13.6              ; 7.4               ; 10.5               ;                      0.9;             0.9;                0.0 ;                      19.5;                    7.0;53; 2.5                   ; -1.02        ; Motregen           ; true         ;12;0;0;0;0;12;0; Bondskaarten                                                             ;6; Sunday      ; true      ; false     ; 2025/2026    ;9; false            ;                    ; true                      ; Autumn Holiday     ;             34.5; 
d0y4sncaf09mzv9ms24ck6olw;d0y4sncaf09mzv9ms24ck6olw; 2025-08-15; 28.4              ; 15.4              ; 22.4               ;                      0.0;             0.0;                0.0 ;                      16.0;                   13.9;3; 2.9                   ; 0.29         ; Bewolkt            ; true         ;613;0;0;603;0;9;1;" ""Bondskaart"; Bring a friend - actie;" Tine""                               ";4; Friday      ; false     ; false     ; 2024/2025    ;50; true             ; Assumption Day     ; true                      ; Summer Holiday     
6y80kic6abtlkzmkr4oiejkt0;6y80kic6abtlkzmkr4oiejkt0; 2024-11-24; 17.6              ; 9.9               ; 14.6               ;                      0.4;             0.4;                0.0 ;                      32.4;                    5.4;51; 6.6                   ; -0.46        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2024/2025    ;13; false            ;                    ; false                     ;                    ;             34.9; 
dak40etbhbqsr1nxyt50qcg0k;dak40etbhbqsr1nxyt50qcg0k; 2022-10-01; 17.8              ; 10.9              ; 14.2               ;                      9.8;             9.8;                0.0 ;                      34.5;                    8.5;61; 1.1                   ; -3.83        ; Regen              ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2022/2023    ;5; false            ;                    ; false                     ;                    ;              7.5; 
rf7k8o1xjf0xw5zrgpbtmhg  ;rf7k8o1xjf0xw5zrgpbtmhg  ; 2026-03-07; 15.8              ; 6.1               ; 10.2               ;                      0.0;             0.0;                0.0 ;                       9.8;                   10.4;3; 2.2                   ; 0.22         ; Bewolkt            ; true         ;6;0;0;0;0;6;0; Bondskaarten                                                             ;5; Saturday    ; true      ; false     ; 2025/2026    ;27; false            ;                    ; false                     ;                    ;             49.1; 
6c8lz4vpdfl8yxo9kgokz9250;6c8lz4vpdfl8yxo9kgokz9250; 2024-09-22; 22.4              ; 14.1              ; 17.6               ;                      0.0;             0.0;                0.0 ;                      20.3;                    5.5;3; 1.3                   ; 0.13         ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2024/2025    ;4; false            ;                    ; false                     ;                    ;             32.6; 
eqncupz92qy89z9bxks1e0t90;eqncupz92qy89z9bxks1e0t90; 2026-02-01; 9.3               ; 3.5               ; 6.1                ;                      0.3;             0.3;                0.0 ;                      16.4;                    6.5;51; -0.1                  ; -1.1         ; Motregen           ; true         ;5;0;0;0;0;5;0; Bondskaarten                                                             ;6; Sunday      ; true      ; false     ; 2025/2026    ;22; false            ;                    ; false                     ;                    ;             55.1; 
9j49kwr0mzxabprw5v0rfr3mc;9j49kwr0mzxabprw5v0rfr3mc; 2024-05-25; 18.4              ; 11.1              ; 14.0               ;                     15.1;            15.1;                0.0 ;                      20.8;                    5.2;63; -0.1                  ; -4.01        ; Regen              ; true         ;165;0;0;0;0;0;165;" ""50% korting ticketkopers seizoen 2023-2024";" Abonnement 2024-2025 gratis""";5; Saturday    ; true      ; false     ; 2023/2024    ;39; false            ;                    ; false                     ;                    ;             45.5
ecz9iyxyc5ira9n59m8cp3bis;ecz9iyxyc5ira9n59m8cp3bis; 2025-12-21; 11.9              ; 5.6               ; 8.3                ;                      0.0;             0.0;                0.0 ;                      15.8;                    5.5;3; 2.9                   ; 0.29         ; Bewolkt            ; true         ;6;0;0;0;0;6;0; Bondskaarten                                                             ;6; Sunday      ; true      ; false     ; 2025/2026    ;16; false            ;                    ; false                     ;                    ;             48.8; 
7wei2vfmf9wa2ikr3hmt50ljo;7wei2vfmf9wa2ikr3hmt50ljo; 2025-02-15; 3.8               ; -3.5              ; -0.1               ;                      0.2;             0.0;                0.14;                      11.9;                    6.1;71; -6.3                  ; -4.69        ; Sneeuw             ; true         ;425;425;0;0;0;0;0; Valentijnsactie abonnee                                                  ;5; Saturday    ; true      ; false     ; 2024/2025    ;24; false            ;                    ; false                     ;                    ;             45.7; 
e1650lh8xyaev5kzm5v3m2kgk;e1650lh8xyaev5kzm5v3m2kgk; 2025-11-23; 5.2               ; 0.1               ; 2.5                ;                      4.1;             1.1;                2.1 ;                      25.7;                    0.0;75; -5.5                  ; -5.78        ; Sneeuw             ; true         ;8;0;0;0;0;8;0; Bondskaarten                                                             ;6; Sunday      ; true      ; false     ; 2025/2026    ;12; false            ;                    ; false                     ;                    ;             39.3; 
77idfj6cmoadi2223efythatw;77idfj6cmoadi2223efythatw; 2024-12-14; 4.6               ; 1.3               ; 2.8                ;                      0.8;             0.8;                0.0 ;                      16.1;                    0.0;53; -2.6                  ; -1.5         ; Motregen           ; true         ;684;0;0;0;472;0;212;" ""Gratis ticket abonnee";" Korting ticketkoper RSCA""                        ";5; Saturday    ; true      ; false     ; 2024/2025    ;15; false            ;                    ; false                     ;                    ;             30.1
82ukg77wot5ten1zki8rhuln8;82ukg77wot5ten1zki8rhuln8; 2025-05-03; 20.5              ; 10.1              ; 14.8               ;                      2.9;             2.9;                0.0 ;                      17.9;                    7.9;53; 0.7                   ; -1.8         ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2024/2025    ;35; false            ;                    ; false                     ;                    ;              0.0; 
5sue6595uizdrssh0wv22egpg;5sue6595uizdrssh0wv22egpg; 2024-08-03; 23.1              ; 15.6              ; 19.6               ;                      1.8;             1.8;                0.0 ;                      19.3;                    9.6;53; 0.1                   ; -1.53        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2023/2024    ;49; false            ;                    ; true                      ; Summer Holiday     ;             26.9; #Samenkanmeer
d256yo3eng04m0fu7b4sl7wno;d256yo3eng04m0fu7b4sl7wno; 2022-07-30; 25.8              ; 12.9              ; 19.8               ;                      0.0;             0.0;                0.0 ;                      10.2;                   10.3;3; 0.9                   ; 0.09         ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2021/2022    ;48; false            ;                    ; true                      ; Summer Holiday     ;             13.9; 
7mk17ds9sv6rqbsd6o75ppuz8;7mk17ds9sv6rqbsd6o75ppuz8; 2025-01-26; 9.9               ; 0.2               ; 4.2                ;                      6.7;             6.4;                0.21;                      29.5;                    4.3;71; 0.6                   ; -5.95        ; Sneeuw             ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2024/2025    ;22; false            ;                    ; false                     ;                    ;             44.4; 
602pbgoexz07st4msln8fq0wk;602pbgoexz07st4msln8fq0wk; 2024-08-18; 22.8              ; 13.5              ; 18.6               ;                      2.7;             2.7;                0.0 ;                      19.7;                    8.5;53; -0.9                  ; -1.9         ; Motregen           ; true         ;602;0;0;0;602;0;0; Gratis ticket abonnee                                                    ;6; Sunday      ; true      ; false     ; 2023/2024    ;51; false            ;                    ; true                      ; Summer Holiday     ;             23.6; 
enw1n6mhkzvb6uptwhzs4gowk;enw1n6mhkzvb6uptwhzs4gowk; 2026-01-24; 9.3               ; 2.1               ; 5.2                ;                      0.0;             0.0;                0.0 ;                      11.4;                    7.6;3; 1.6                   ; 0.16         ; Bewolkt            ; true         ;13;0;0;0;0;13;0; Bondskaarten                                                             ;5; Saturday    ; true      ; false     ; 2025/2026    ;21; false            ;                    ; false                     ;                    ;             42.3; 
di0x0as1g324k0hoea1o5vvh0;di0x0as1g324k0hoea1o5vvh0; 2022-11-11; 13.6              ; 7.9               ; 9.8                ;                      0.0;             0.0;                0.0 ;                      19.0;                    8.4;3; 1.8                   ; 0.18         ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;4; Friday      ; false     ; false     ; 2022/2023    ;11; true             ; Armistice Day      ; false                     ;                    ;             49.3; 
814atdxgv4huojqsu3t0d9vro;814atdxgv4huojqsu3t0d9vro; 2025-04-26; 18.0              ; 4.2               ; 11.3               ;                      0.0;             0.0;                0.0 ;                      11.9;                   13.8;2; 1.1                   ; 0.31         ; Licht bewolkt      ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2024/2025    ;34; false            ;                    ; false                     ;                    ;              0.0; 
ewgb5fczpfa71pfzihlip6yok;ewgb5fczpfa71pfzihlip6yok; 2026-02-14; 2.5               ; -3.0              ; 0.5                ;                      0.0;             0.0;                0.0 ;                      18.7;                    3.4;3; -5.7                  ; -0.57        ; Bewolkt            ; true         ;509;501;0;0;0;8;0;" ""Valentijnsactie abonnee";" Bondskaarten""                                  ";5; Saturday    ; true      ; false     ; 2025/2026    ;24; false            ;                    ; false                     ;                    ;             44.4
852y9z78ifhike3zkg6dfyluc;852y9z78ifhike3zkg6dfyluc; 2025-05-16; 17.5              ; 6.4               ; 12.3               ;                      0.0;             0.0;                0.0 ;                      18.5;                   15.0;3; -1.8                  ; -0.18        ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;4; Friday      ; false     ; false     ; 2024/2025    ;37; false            ;                    ; false                     ;                    ;              0.0; 
9bied5x123qpk7tpdx9t2fml0;9bied5x123qpk7tpdx9t2fml0; 2024-04-14; 15.6              ; 9.2               ; 12.5               ;                      0.9;             0.9;                0.0 ;                      18.4;                    7.6;53; 2.3                   ; -1.04        ; Motregen           ; true         ;1;0;0;0;0;1;0; Bondskaarten                                                             ;6; Sunday      ; true      ; false     ; 2023/2024    ;33; false            ;                    ; true                      ; Easter Holiday     ;             33.7; 
9garbt9ourfmmy4uxcq3f84yc;9garbt9ourfmmy4uxcq3f84yc; 2024-05-05; 16.9              ; 6.8               ; 11.9               ;                      0.0;             0.0;                0.0 ;                      12.1;                   10.2;3; -2.2                  ; -0.22        ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2023/2024    ;36; false            ;                    ; false                     ;                    ;             27.9; 
dqvzs325coup7j9iqyfcazmdw;dqvzs325coup7j9iqyfcazmdw; 2023-02-10; 7.2               ; -1.0              ; 3.9                ;                      0.0;             0.0;                0.0 ;                      18.2;                    1.0;3; -2.3                  ; -0.23        ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;4; Friday      ; false     ; false     ; 2022/2023    ;24; false            ;                    ; false                     ;                    ;             55.6; 
d80mkemezkz16bqh6lbn8tlhw;d80mkemezkz16bqh6lbn8tlhw; 2022-09-10; 18.9              ; 13.6              ; 15.7               ;                      8.6;             8.6;                0.0 ;                      23.5;                    4.1;61; -0.6                  ; -3.64        ; Regen              ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2022/2023    ;2; false            ;                    ; false                     ;                    ;             68.7; 
